Epoch,# of updates,Normalized Amain,Normalized WA,Normalized ΔWH,Normalized WH
0,0,-0.14263,-0.14263,-0.00285,-0.00285
0,1,-0.26491,-0.26491,-0.0053,-0.00815
0,2,-0.26491,-0.26491,-0.0053,-0.01345
0,3,-0.51233,-0.51233,-0.01025,-0.0237
0,4,-0.53671,-0.53671,-0.01073,-0.03443
0,5,-0.55987,-0.55987,-0.0112,-0.04563
0,6,-0.67647,-0.67647,-0.01353,-0.05916
0,7,-0.59264,-0.59264,-0.01185,-0.07101
0,8,-0.59264,-0.59264,-0.01185,-0.08286
0,9,-0.43736,-0.43736,-0.00875,-0.09161
0,10,-0.43736,-0.43736,-0.00875,-0.10036
0,11,-0.43736,-0.43736,-0.00875,-0.1091
0,12,-0.58641,-0.58641,-0.01173,-0.12083
0,13,-0.6454,-0.6454,-0.01291,-0.13374
0,14,-0.66313,-0.66313,-0.01326,-0.147
0,15,-0.67997,-0.67997,-0.0136,-0.1606
0,16,-0.80839,-0.80839,-0.01617,-0.17677
0,17,-0.86619,-0.86619,-0.01732,-0.19409
0,18,-0.30323,-0.30323,-0.00606,-0.20016
0,19,-0.37116,-0.37116,-0.00742,-0.20758
0,20,-0.40261,-0.40261,-0.00805,-0.21563
0,21,-0.51342,-0.51342,-0.01027,-0.2259
0,22,-0.53775,-0.53775,-0.01075,-0.23666
0,23,-0.38782,-0.38782,-0.00776,-0.24441
0,24,-0.59387,-0.59387,-0.01188,-0.25629
0,25,-0.59387,-0.59387,-0.01188,-0.26817
0,26,-0.51417,-0.51417,-0.01028,-0.27845
0,27,-0.62408,-0.62408,-0.01248,-0.29093
0,28,-0.62408,-0.62408,-0.01248,-0.30341
0,29,-0.54287,-0.54287,-0.01086,-0.31427
0,30,-0.54287,-0.54287,-0.01086,-0.32513
0,31,-0.46573,-0.46573,-0.00931,-0.33444
0,32,-0.39244,-0.39244,-0.00785,-0.34229
0,33,-0.42282,-0.42282,-0.00846,-0.35075
0,34,-0.21989,-0.21989,-0.0044,-0.35515
0,35,-0.21989,-0.21989,-0.0044,-0.35954
0,36,-0.21989,-0.21989,-0.0044,-0.36394
0,37,-0.10095,-0.10095,-0.00202,-0.36596
0,38,-0.22918,-0.22918,-0.00458,-0.37054
0,39,-0.22918,-0.22918,-0.00458,-0.37513
0,40,-0.05387,-0.05387,-0.00108,-0.37621
0,41,-0.18881,-0.18881,-0.00378,-0.37998
0,42,-0.22937,-0.22937,-0.00459,-0.38457
0,43,-0.22937,-0.22937,-0.00459,-0.38916
0,44,-0.22937,-0.22937,-0.00459,-0.39374
0,45,-0.22937,-0.22937,-0.00459,-0.39833
0,46,-0.37232,-0.37232,-0.00745,-0.40578
0,47,-0.23851,-0.23851,-0.00477,-0.41055
0,48,-0.23851,-0.23851,-0.00477,-0.41532
0,49,-0.34712,-0.34712,-0.00694,-0.42226
0,50,-0.46823,-0.46823,-0.00936,-0.43163
0,51,-0.49482,-0.49482,-0.0099,-0.44152
0,52,-0.68161,-0.68161,-0.01363,-0.45515
0,53,-0.3012,-0.3012,-0.00602,-0.46118
0,54,-0.3012,-0.3012,-0.00602,-0.4672
0,55,-0.3012,-0.3012,-0.00602,-0.47323
0,56,-0.3012,-0.3012,-0.00602,-0.47925
0,57,-0.45928,-0.45928,-0.00919,-0.48843
0,58,-0.01907,-0.01907,-3.81E-04,-0.48882
0,59,-0.01907,-0.01907,-3.81E-04,-0.4892
0,60,-0.06812,-0.06812,-0.00136,-0.49056
0,61,-0.11471,-0.11471,-0.00229,-0.49285
0,62,-0.11471,-0.11471,-0.00229,-0.49515
0,63,-0.34923,-0.34923,-0.00698,-0.50213
0,64,-0.21768,-0.21768,-0.00435,-0.50649
0,65,-0.32926,-0.32926,-0.00659,-0.51307
0,66,-0.32926,-0.32926,-0.00659,-0.51966
0,67,-0.19966,-0.19966,-0.00399,-0.52365
0,68,-0.3138,-0.3138,-0.00628,-0.52993
0,69,-0.3138,-0.3138,-0.00628,-0.5362
0,70,-0.46904,-0.46904,-0.00938,-0.54558
0,71,-0.49558,-0.49558,-0.00991,-0.55549
0,72,-0.60969,-0.60969,-0.01219,-0.56769
0,73,-0.62921,-0.62921,-0.01258,-0.58027
0,74,-0.72743,-0.72743,-0.01455,-0.59482
0,75,-0.48106,-0.48106,-0.00962,-0.60444
0,76,-0.48106,-0.48106,-0.00962,-0.61406
0,77,-0.40701,-0.40701,-0.00814,-0.6222
0,78,-0.40701,-0.40701,-0.00814,-0.63034
0,79,-0.49158,-0.49158,-0.00983,-0.64018
0,80,-0.517,-0.517,-0.01034,-0.65052
0,81,-0.56409,-0.56409,-0.01128,-0.6618
0,82,-0.34102,-0.34102,-0.00682,-0.66862
0,83,-0.40527,-0.40527,-0.00811,-0.67672
0,84,-0.40527,-0.40527,-0.00811,-0.68483
0,85,-0.1446,-0.1446,-0.00289,-0.68772
0,86,-0.08737,-0.08737,-0.00175,-0.68947
0,87,0.01865,0.01865,3.73E-04,-0.68909
0,88,-0.2512,-0.2512,-0.00502,-0.69412
0,89,-0.2512,-0.2512,-0.00502,-0.69914
0,90,-0.2512,-0.2512,-0.00502,-0.70417
0,91,-0.32421,-0.32421,-0.00648,-0.71065
0,92,-0.32421,-0.32421,-0.00648,-0.71713
0,93,-0.32421,-0.32421,-0.00648,-0.72362
0,94,-0.32421,-0.32421,-0.00648,-0.7301
0,95,-0.44956,-0.44956,-0.00899,-0.73909
0,96,-0.44956,-0.44956,-0.00899,-0.74809
0,97,-0.50323,-0.50323,-0.01006,-0.75815
0,98,-0.55166,-0.55166,-0.01103,-0.76918
0,99,-0.55166,-0.55166,-0.01103,-0.78022
1,100,-0.63483,-0.63483,-0.0127,-0.79291
1,101,-0.71744,-0.71744,-0.01435,-0.80726
