Epoch,# of updates,Normalized Amain,Normalized WA,Normalized ΔWH,Normalized WH
0,0,-0.22622,0.47378,0.00948,0.00948
0,1,-0.26491,0.43509,0.0087,0.01818
0,2,-0.26491,0.43509,0.0087,0.02688
0,3,-0.51233,0.18767,0.00375,0.03063
0,4,-0.51233,0.18767,0.00375,0.03439
0,5,-0.55987,0.14013,0.0028,0.03719
0,6,-0.67647,0.02353,4.71E-04,0.03766
0,7,-0.59264,0.10736,0.00215,0.03981
0,8,-0.51301,0.18699,0.00374,0.04355
0,9,-0.23236,0.46764,0.00935,0.0529
0,10,-0.23236,0.46764,0.00935,0.06225
0,11,-0.23236,0.46764,0.00935,0.07161
0,12,-0.37475,0.32525,0.00651,0.07811
0,13,-0.40601,0.29399,0.00588,0.08399
0,14,-0.43571,0.26429,0.00529,0.08928
0,15,-0.43571,0.26429,0.00529,0.09456
0,16,-0.66214,0.03786,7.57E-04,0.09532
0,17,-0.71033,-0.01033,-2.07E-04,0.09511
0,18,-0.54357,0.15643,0.00313,0.09824
0,19,-0.58807,0.11193,0.00224,0.10048
0,20,-0.58807,0.11193,0.00224,0.10272
0,21,-0.6972,0.0028,5.61E-05,0.10277
0,22,-0.6972,0.0028,5.61E-05,0.10283
0,23,-0.61234,0.08766,0.00175,0.10458
0,24,-0.72928,-0.02928,-5.86E-04,0.104
0,25,-0.64282,0.05718,0.00114,0.10514
0,26,-0.48264,0.21736,0.00435,0.10949
0,27,-0.59968,0.10032,0.00201,0.11149
0,28,-0.59968,0.10032,0.00201,0.1135
0,29,-0.59968,0.10032,0.00201,0.11551
0,30,-0.51969,0.18031,0.00361,0.11911
0,31,-0.37152,0.32848,0.00657,0.12568
0,32,-0.37152,0.32848,0.00657,0.13225
0,33,-0.37152,0.32848,0.00657,0.13882
0,34,-0.2378,0.4622,0.00924,0.14807
0,35,-0.2378,0.4622,0.00924,0.15731
0,36,-0.2378,0.4622,0.00924,0.16655
0,37,-0.0082,0.6918,0.01384,0.18039
0,38,-0.19217,0.50783,0.01016,0.19055
0,39,-0.19217,0.50783,0.01016,0.2007
0,40,-0.07593,0.62407,0.01248,0.21319
0,41,-0.16603,0.53397,0.01068,0.22386
0,42,-0.16603,0.53397,0.01068,0.23454
0,43,-0.16603,0.53397,0.01068,0.24522
0,44,-0.16603,0.53397,0.01068,0.2559
0,45,-0.16603,0.53397,0.01068,0.26658
0,46,-0.16603,0.53397,0.01068,0.27726
0,47,-0.10773,0.59227,0.01185,0.28911
0,48,-0.23499,0.46501,0.0093,0.29841
0,49,-0.37689,0.32311,0.00646,0.30487
0,50,-0.43765,0.26235,0.00525,0.31012
0,51,-0.49248,0.20752,0.00415,0.31427
0,52,-0.69613,0.00387,7.75E-05,0.31434
0,53,-0.53075,0.16925,0.00338,0.31773
0,54,-0.53075,0.16925,0.00338,0.32111
0,55,-0.53075,0.16925,0.00338,0.3245
0,56,-0.38151,0.31849,0.00637,0.33087
0,57,-0.49623,0.20377,0.00408,0.33494
0,58,-0.28283,0.41717,8.34E-03,0.34329
0,59,-0.31869,0.38131,7.63E-03,0.35091
0,60,-0.35276,0.34724,0.00694,0.35786
0,61,-0.35276,0.34724,0.00694,0.3648
0,62,-0.35276,0.34724,0.00694,0.37175
0,63,-0.41586,0.28414,0.00568,0.37743
0,64,-0.41586,0.28414,0.00568,0.38311
