Epoch,# of updates,Normalized Amain,Normalized WA,Normalized ΔWH,Normalized WH
0,0,-0.05,0.65,0.013,0.013
0,1,-0.36975,0.33025,0.0066,0.0196
0,2,-0.36975,0.33025,0.0066,0.02621
0,3,-0.45964,0.24036,0.00481,0.03102
0,4,-0.45964,0.24036,0.00481,0.03582
0,5,-0.53671,0.16329,0.00327,0.03909
0,6,-0.62265,0.07735,1.55E-03,0.04064
0,7,-0.62265,0.07735,0.00155,0.04218
0,8,-0.62265,0.07735,0.00155,0.04373
0,9,-0.25557,0.44443,0.00889,0.05262
0,10,-0.25557,0.44443,0.00889,0.06151
0,11,-0.29279,0.40721,0.00814,0.06965
0,12,-0.57657,0.12343,0.00247,0.07212
0,13,-0.61785,0.08215,0.00164,0.07376
0,14,-0.65511,0.04489,8.98E-04,0.07466
0,15,-0.67236,0.02764,5.53E-04,0.07521
0,16,-0.80383,-0.10383,-2.08E-03,0.07314
0,17,-0.86301,-0.16301,-3.26E-03,0.06988
0,18,-0.44156,0.25844,0.00517,0.07505
0,19,-0.46948,0.23052,-0.00461,0.07966
0,20,-0.46948,0.23052,-0.00461,0.07505
0,21,-0.2599,0.4401,-8.80E-03,0.06624
0,22,-0.2599,0.4401,-8.80E-03,0.05744
0,23,-0.33206,0.36794,-0.00736,0.05008
0,24,-0.03072,0.66928,-1.34E-02,0.0367
0,25,-0.03072,0.66928,-0.01339,0.02331
0,26,-0.16896,0.53104,-0.01062,0.01269
0,27,0.04787,0.74787,-0.01496,-0.00227
0,28,0.04787,0.74787,-0.01496,-0.01722
0,29,-0.00452,0.69548,-0.01391,-0.03113
0,30,-0.00452,0.69548,-0.01391,-0.04504
0,31,-0.0543,0.6457,-0.01291,-0.05796
0,32,-0.18918,0.51082,-0.01022,-0.06817
0,33,-0.18918,0.51082,-0.01022,-0.07839
0,34,-0.22972,0.47028,-0.00941,-0.08779
0,35,-0.22972,0.47028,-0.00941,-0.0972
0,36,-0.22972,0.47028,-0.00941,-0.10661
0,37,-0.33958,0.36042,-0.00721,-0.11381
0,38,-0.03654,0.66346,-0.01327,-0.12708
0,39,-0.03654,0.66346,0.01327,-0.14035
0,40,0.1113,0.8113,0.01623,-0.12413
0,41,-0.0472,0.6528,0.01306,-0.11107
0,42,-0.1831,0.5169,0.01034,-0.10073
0,43,-0.1831,0.5169,0.01034,-0.09039
0,44,-0.06774,0.63226,0.01265,-0.07775
0,45,-0.06774,0.63226,0.01265,-0.0651
0,46,-0.24067,0.45933,0.00919,-0.05592
0,47,-0.17864,0.52136,0.01043,-0.04549
0,48,-0.21971,0.48029,0.00961,-0.03588
0,49,-0.36445,0.33555,0.00671,-0.02917
0,50,-0.39622,0.30378,0.00608,-0.0231
0,51,-0.48234,0.21766,0.00435,-0.01875
0,52,-0.6385,0.0615,1.23E-03,-0.01751
0,53,-0.26784,0.43216,0.00864,-0.00887
0,54,-0.26784,0.43216,0.00864,-2.28E-04
0,55,-0.30445,0.39555,0.00791,0.00768
0,56,-0.30445,0.39555,0.00791,0.01559
0,57,-0.4887,0.2113,0.00423,0.01982
0,58,-0.15193,0.54807,1.10E-02,0.03078
0,59,-0.23462,0.46538,-9.31E-03,0.04009
