Epoch,# of updates,Normalized Amain,Normalized WA,Normalized ΔWH,Normalized WH
0,0,-0.05,-0.05,-1.00E-03,-1.00E-03
0,1,-0.22622,-0.22622,-0.00452,-0.00552
0,2,-0.22622,-0.22622,-0.00452,-0.01005
0,3,-0.48666,-0.48666,-0.00973,-0.01978
0,4,-0.51233,-0.51233,-0.01025,-0.03003
0,5,-0.51233,-0.51233,-0.01025,-0.04027
0,6,-0.65944,-0.65944,-1.32E-02,-0.05346
0,7,-0.49764,-0.49764,-0.00995,-0.06342
0,8,-0.49764,-0.49764,-0.00995,-0.07337
0,9,-0.28404,-0.28404,-0.00568,-0.07905
0,10,-0.28404,-0.28404,-0.00568,-0.08473
0,11,-0.28404,-0.28404,-0.00568,-0.09041
0,12,-0.31984,-0.31984,-0.0064,-0.09681
0,13,-0.35385,-0.35385,-0.00708,-0.10389
0,14,-0.41685,-0.41685,-0.00834,-0.11222
0,15,-0.4737,-0.4737,-0.00947,-0.1217
0,16,-0.68489,-0.68489,-1.37E-02,-0.13539
0,17,-0.79095,-0.79095,-1.58E-02,-0.15121
0,18,-0.31651,-0.31651,-0.00633,-0.15754
0,19,-0.35069,0.07201,-0.00144,-0.16456
0,20,-0.28315,0.13955,-0.00279,-0.16735
0,21,-0.15804,0.26465,-5.29E-03,-0.17264
0,22,-0.10014,0.32255,-6.45E-03,-0.17909
0,23,-0.30371,0.11899,-0.00238,-0.18147
0,24,0.08957,0.51227,-1.03E-02,-0.19172
0,25,0.08957,0.51227,-0.01025,-0.20196
0,26,-0.01666,0.40604,-0.00812,-0.21008
0,27,0.17192,0.59462,-0.01189,-0.22198
0,28,0.17192,0.59462,-0.01189,-0.23387
0,29,0.17192,0.59462,-0.01189,-0.24576
0,30,0.05766,0.48036,-0.00961,-0.25537
0,31,-0.04546,0.37724,-0.00754,-0.26291
0,32,-0.09319,0.32951,-0.00659,-0.2695
0,33,-0.09319,0.32951,-0.00659,-0.27609
0,34,-0.1816,0.24109,-0.00482,-0.28092
0,35,-0.1816,0.24109,-0.00482,-0.28574
0,36,-0.1816,0.24109,-0.00482,-0.29056
0,37,-0.2614,0.1613,-0.00323,-0.29378
0,38,0.02396,0.44665,-0.00893,-0.30272
0,39,0.02396,0.0595,0.00119,-0.31165
0,40,0.07276,0.10831,0.00217,-0.30948
0,41,-0.08024,-0.0447,-8.94E-04,-0.31038
0,42,-0.16992,-0.13437,-0.00269,-0.31307
0,43,-0.16992,-0.13437,-0.00269,-0.31575
0,44,-0.16992,-0.13437,-0.00269,-0.31844
0,45,-0.16992,-0.13437,-0.00269,-0.32113
0,46,-0.21142,-0.17588,-0.00352,-0.32465
0,47,-0.21142,-0.17588,-0.00352,-0.32816
0,48,-0.25085,-0.2153,-0.00431,-0.33247
0,49,-0.3577,-0.32215,-0.00644,-0.33891
0,50,-0.3577,-0.32215,-0.00644,-0.34536
0,51,-0.42032,-0.38478,-0.0077,-0.35305
0,52,-0.63466,-0.59911,-1.20E-02,-0.36503
0,53,-0.40152,-0.36597,-0.00732,-0.37235
0,54,-0.40152,-0.36597,-0.00732,-0.37967
0,55,-0.40152,-0.36597,-0.00732,-0.38699
0,56,-0.33144,-0.29589,-0.00592,-0.39291
0,57,-0.48268,-0.44713,-0.00894,-0.40185
0,58,-0.08991,-0.05436,-1.09E-03,-0.40294
0,59,-0.08991,0.08447,-1.69E-03,-0.40403
0,60,-0.08991,0.08447,-0.00169,-0.40572
0,61,-0.03541,0.13896,-0.00278,-0.4085
0,62,-0.03541,0.13896,-0.00278,-0.41127
0,63,0.11226,0.28664,-0.00573,-0.41701
0,64,0.05665,0.23102,-0.00462,-0.42163
0,65,0.14863,0.323,-0.00646,-0.42809
0,66,0.14863,0.323,-0.00646,-0.43455
0,67,0.0912,0.26557,-0.00531,-0.43986
0,68,0.13664,0.31101,-0.00622,-0.44608
0,69,0.13664,0.31101,-0.00622,-0.4523
0,70,0.1798,0.35418,-0.00708,-0.45938
0,71,0.22081,0.39519,-0.0079,-0.46729
0,72,0.29678,0.47116,-9.42E-03,-0.47671
0,73,0.33195,0.50632,-1.01E-02,-0.48684
0,74,0.50892,0.68329,-0.01367,-0.5005
0,75,0.3618,0.53617,-0.01072,-0.51123
