Pulse number,Conductance (W11),Moving averaged conductance (W11),Conductance (W12),Moving averaged conductance (W12),
0,9.29E-05,9.48E-05,8.47E-05,9.36E-05,
1,9.10E-05,9.53E-05,8.41E-05,9.48E-05,
2,9.56E-05,9.45E-05,9.29E-05,9.45E-05,
3,9.97E-05,9.41E-05,9.79E-05,9.45E-05,
4,9.01E-05,9.37E-05,9.29E-05,9.40E-05,
5,9.77E-05,9.41E-05,1.00E-04,9.45E-05,
6,9.78E-05,9.41E-05,1.01E-04,9.56E-05,
7,8.99E-05,9.34E-05,9.33E-05,9.53E-05,
8,9.09E-05,9.34E-05,9.44E-05,9.58E-05,
9,9.03E-05,9.36E-05,8.95E-05,9.61E-05,
10,9.76E-05,9.30E-05,9.91E-05,9.57E-05,
11,9.11E-05,9.22E-05,9.54E-05,9.52E-05,
12,8.93E-05,9.28E-05,8.98E-05,9.56E-05,
13,9.99E-05,9.26E-05,1.03E-04,9.57E-05,
14,9.19E-05,9.26E-05,9.61E-05,9.60E-05,
15,9.13E-05,9.21E-05,9.57E-05,9.57E-05,
16,9.02E-05,9.21E-05,9.57E-05,9.61E-05,
17,9.58E-05,9.22E-05,9.79E-05,9.66E-05,
18,8.87E-05,9.14E-05,9.45E-05,9.58E-05,
19,9.00E-05,9.14E-05,9.28E-05,9.56E-05,
20,9.23E-05,9.12E-05,9.67E-05,9.61E-05,
21,9.12E-05,9.11E-05,9.90E-05,9.62E-05,
22,9.05E-05,9.06E-05,9.48E-05,9.62E-05,
23,9.19E-05,9.08E-05,9.45E-05,9.64E-05,
24,9.16E-05,9.13E-05,9.48E-05,9.73E-05,
25,9.01E-05,9.16E-05,9.99E-05,9.77E-05,
26,8.87E-05,9.19E-05,9.68E-05,9.79E-05,
27,9.09E-05,9.19E-05,9.84E-05,9.84E-05,
28,9.08E-05,9.22E-05,9.60E-05,9.96E-05,
29,9.49E-05,9.21E-05,1.02E-04,1.00E-04,
30,9.59E-05,9.28E-05,1.01E-04,1.01E-04,
31,9.41E-05,9.28E-05,1.01E-04,1.01E-04,
32,9.05E-05,9.31E-05,9.99E-05,1.01E-04,
33,9.46E-05,9.33E-05,1.06E-04,1.02E-04,
34,9.10E-05,9.36E-05,9.97E-05,1.03E-04,
35,9.67E-05,9.37E-05,1.06E-04,1.04E-04,
36,8.91E-05,9.33E-05,9.67E-05,1.04E-04,
37,9.34E-05,9.36E-05,1.06E-04,1.04E-04,
38,9.29E-05,9.33E-05,1.04E-04,1.04E-04,
39,9.78E-05,9.35E-05,1.12E-04,1.04E-04,
40,9.73E-05,9.30E-05,1.06E-04,1.04E-04,
41,8.97E-05,9.38E-05,1.01E-04,1.05E-04,
42,9.37E-05,9.35E-05,1.07E-04,1.05E-04,
43,9.15E-05,9.33E-05,1.00E-04,1.06E-04,
44,9.24E-05,9.28E-05,1.06E-04,1.05E-04,
45,9.18E-05,9.22E-05,1.01E-04,1.05E-04,
46,9.73E-05,9.22E-05,1.12E-04,1.05E-04,
47,9.07E-05,9.20E-05,1.05E-04,1.05E-04,
48,9.08E-05,9.26E-05,1.05E-04,1.07E-04,
49,9.24E-05,9.24E-05,1.07E-04,1.07E-04,
50,9.17E-05,9.28E-05,1.05E-04,1.08E-04,
51,9.02E-05,9.23E-05,1.05E-04,1.07E-04,
52,9.13E-05,9.29E-05,1.07E-04,1.08E-04,
53,9.79E-05,9.29E-05,1.17E-04,1.08E-04,
54,9.02E-05,9.29E-05,1.04E-04,1.08E-04,
55,9.60E-05,9.28E-05,1.11E-04,1.09E-04,
56,9.17E-05,9.34E-05,1.06E-04,1.10E-04,
57,9.71E-05,9.39E-05,1.13E-04,1.10E-04,
58,9.02E-05,9.38E-05,1.04E-04,1.09E-04,
59,9.26E-05,9.38E-05,1.11E-04,1.09E-04,
60,9.06E-05,9.34E-05,1.11E-04,1.09E-04,
61,9.68E-05,9.31E-05,1.12E-04,1.09E-04,
62,9.58E-05,9.25E-05,1.09E-04,1.08E-04,
63,9.72E-05,9.25E-05,1.12E-04,1.07E-04,
64,9.03E-05,9.24E-05,1.02E-04,1.06E-04,
65,9.15E-05,9.24E-05,1.07E-04,1.06E-04,
66,8.90E-05,9.26E-05,1.03E-04,1.06E-04,
67,9.15E-05,9.22E-05,1.05E-04,1.06E-04,
68,9.01E-05,9.17E-05,1.01E-04,1.05E-04,
69,9.12E-05,9.19E-05,1.01E-04,1.06E-04,
70,9.08E-05,9.17E-05,1.03E-04,1.06E-04,
71,9.86E-05,9.19E-05,1.16E-04,1.07E-04,
72,9.23E-05,9.19E-05,1.07E-04,1.07E-04,
73,9.13E-05,9.21E-05,1.10E-04,1.07E-04,
74,9.28E-05,9.22E-05,1.11E-04,1.08E-04,
75,8.90E-05,9.27E-05,1.06E-04,1.09E-04,
76,9.14E-05,9.19E-05,1.06E-04,1.08E-04,
77,9.19E-05,9.20E-05,1.07E-04,1.08E-04,
78,9.17E-05,9.21E-05,1.02E-04,1.08E-04,
79,9.22E-05,9.18E-05,1.11E-04,1.07E-04,
80,9.58E-05,9.21E-05,1.11E-04,1.07E-04,
81,9.01E-05,9.27E-05,1.06E-04,1.08E-04,
82,9.39E-05,9.26E-05,1.11E-04,1.08E-04,
83,9.26E-05,9.26E-05,1.06E-04,1.08E-04,
84,8.89E-05,9.32E-05,1.03E-04,1.09E-04,
85,9.23E-05,9.27E-05,1.09E-04,1.08E-04,
86,9.80E-05,9.32E-05,1.14E-04,1.09E-04,
87,9.05E-05,9.30E-05,1.04E-04,1.08E-04,
88,9.13E-05,9.29E-05,1.07E-04,1.08E-04,
89,9.83E-05,9.32E-05,1.19E-04,1.09E-04,
90,9.17E-05,9.38E-05,1.02E-04,1.09E-04,
91,9.45E-05,9.31E-05,1.11E-04,1.08E-04,
92,9.17E-05,9.30E-05,1.08E-04,1.09E-04,
93,9.23E-05,9.33E-05,1.07E-04,1.10E-04,
94,9.12E-05,9.23E-05,1.05E-04,1.08E-04,
95,9.86E-05,9.28E-05,1.13E-04,1.09E-04,
96,9.05E-05,9.29E-05,1.08E-04,1.10E-04,
97,9.02E-05,9.32E-05,1.08E-04,1.10E-04,
98,9.42E-05,9.32E-05,1.16E-04,1.10E-04,
99,8.80E-05,9.33E-05,1.03E-04,1.11E-04,
100,9.64E-05,9.24E-05,1.15E-04,1.10E-04,
101,9.57E-05,9.29E-05,1.15E-04,1.11E-04,
102,9.54E-05,9.28E-05,1.10E-04,1.11E-04,
103,9.17E-05,9.25E-05,1.11E-04,1.10E-04,
104,9.19E-05,9.28E-05,1.10E-04,1.11E-04,
105,9.04E-05,9.21E-05,1.08E-04,1.10E-04,
106,9.48E-05,9.18E-05,1.13E-04,1.10E-04,
107,8.98E-05,9.15E-05,1.06E-04,1.10E-04,
108,9.10E-05,9.14E-05,1.12E-04,1.09E-04,
109,9.05E-05,9.12E-05,1.07E-04,1.09E-04,
110,9.00E-05,9.11E-05,1.08E-04,1.08E-04,
111,9.25E-05,9.09E-05,1.11E-04,1.08E-04,
112,9.20E-05,9.12E-05,1.09E-04,1.09E-04,
113,9.12E-05,9.12E-05,1.08E-04,1.08E-04,
114,8.97E-05,9.16E-05,1.05E-04,1.09E-04,
115,8.93E-05,9.18E-05,1.04E-04,1.09E-04,
116,9.30E-05,9.15E-05,1.12E-04,1.08E-04,
117,9.22E-05,9.14E-05,1.11E-04,1.09E-04,
118,9.12E-05,9.21E-05,1.08E-04,1.10E-04,
119,9.46E-05,9.26E-05,1.11E-04,1.11E-04,
