Voltage(RESET),Conductance(RESET),Voltage(SET),Conductance(SET),
0.00E+00,4.23E-05,0,3.74E-05,
1.00E-01,4.28E-05,-0.1,3.75E-05,
2.00E-01,4.20E-05,-0.2,3.97E-05,
3.00E-01,4.36E-05,-0.3,3.77E-05,
4.00E-01,4.31E-05,-0.4,3.75E-05,
5.00E-01,4.35E-05,-0.5,3.82E-05,
6.00E-01,4.23E-05,-0.6,3.85E-05,
7.00E-01,4.29E-05,-0.7,3.84E-05,
8.00E-01,4.28E-05,-0.8,3.85E-05,
9.00E-01,4.27E-05,-0.9,3.78E-05,
1.00E+00,4.39E-05,-1,3.94E-05,
1.10E+00,4.37E-05,-1.1,3.74E-05,
1.20E+00,4.37E-05,-1.2,3.79E-05,
1.30E+00,4.47E-05,-1.3,3.76E-05,
1.40E+00,3.45E-05,-1.4,3.58E-05,
1.50E+00,3.80E-05,-1.5,4.46E-05,
,,,,
