Initial conductance,Conductance after 6 months,,Conductance change rate
62.03084,62.7499,,1.15919
128.60943,127.40995,,-0.93266
42.23222,41.31867,,-2.16316
186.72269,180.12536,,-3.53323
274.93373,269.59943,,-1.94021
151.82417,155.33432,,2.31198
216.99179,216.82735,,-0.07578
75.5001,73.5301,,-2.60926
23.8657,23.77823,,-0.36652
136.86143,134.45382,,-1.75916
109.08759,110.95931,,1.71579
180.47335,176.08716,,-2.43038
153.8813,156.10338,,1.44402
53.27807,50.67853,,-4.87921
39.89764,40.09858,,0.50365
74.08857,68.22583,,-7.91315
244.4661,229.84469,,-5.98096
103.36021,95.5528,,-7.55359
52.52531,56.08166,,6.77074
13.40249,12.1054,,-9.67799
98.65923,88.88806,,-9.90396
118.84063,112.70631,,-5.1618
108.92482,119.34808,,9.56922
218.33613,206.69899,,-5.32992
94.15676,85.24068,,-9.4694
118.05962,107.08501,,-9.29582
16.02642,17.2884,,7.8744
186.14726,170.73974,,-8.27706
37.16459,34.15577,,-8.09593
247.82565,230.71705,,-6.90348
128.75557,117.78343,,-8.52169
234.30764,215.13469,,-8.18281
56.03859,49.76632,,-11.19277
114.84856,101.86402,,-11.30579
41.64301,36.32316,,-12.77489
101.45737,87.88467,,-13.37773
104.80234,93.09792,,-11.16809
109.84815,95.92911,,-12.67117
233.45291,200.66298,,-14.04563
21.72299,19.05239,,-12.29391
78.30809,88.88769,,13.51022
44.05004,49.63546,,12.67973
114.86356,101.26878,,-11.83559
56.14723,48.36401,,-13.86215
287.50025,246.58935,,-14.22986
12.16813,13.66173,,12.27466
59.29985,51.69919,,-12.81734
44.95149,40.03575,,-10.93566
29.09112,24.73535,,-14.97286
145.94587,167.25604,,14.60142
