Pulse number,Conductance,Moving averaged conductance,,
0.00E+00,7.47E-05,7.08E-05,,
1.00E+00,7.08E-05,7.67E-05,,
2.00E+00,8.27E-05,7.80E-05,,
3.00E+00,8.07E-05,7.99E-05,,
4.00E+00,8.54E-05,8.04E-05,,
5.00E+00,8.23E-05,8.06E-05,,
6.00E+00,8.19E-05,8.12E-05,,
7.00E+00,8.46E-05,8.07E-05,,
8.00E+00,7.72E-05,8.05E-05,,
9.00E+00,7.88E-05,8.09E-05,,
1.00E+01,8.42E-05,8.20E-05,,
1.10E+01,8.24E-05,8.28E-05,,
1.20E+01,9.06E-05,8.32E-05,,
1.30E+01,8.44E-05,8.32E-05,,
1.40E+01,8.62E-05,8.35E-05,,
1.50E+01,8.46E-05,8.42E-05,,
1.60E+01,8.92E-05,8.43E-05,,
1.70E+01,8.52E-05,8.53E-05,,
1.80E+01,8.78E-05,8.61E-05,,
1.90E+01,8.62E-05,8.64E-05,,
2.00E+01,8.77E-05,8.70E-05,,
2.10E+01,8.78E-05,8.67E-05,,
2.20E+01,8.80E-05,8.67E-05,,
2.30E+01,8.47E-05,8.73E-05,,
2.40E+01,9.18E-05,8.78E-05,,
2.50E+01,8.98E-05,8.79E-05,,
2.60E+01,9.01E-05,8.85E-05,,
2.70E+01,9.07E-05,8.90E-05,,
2.80E+01,9.33E-05,8.94E-05,,
2.90E+01,8.99E-05,9.00E-05,,
3.00E+01,9.37E-05,9.03E-05,,
3.10E+01,9.11E-05,9.07E-05,,
3.20E+01,9.16E-05,9.11E-05,,
3.30E+01,8.93E-05,9.11E-05,,
3.40E+01,9.16E-05,9.09E-05,,
3.50E+01,8.81E-05,9.17E-05,,
3.60E+01,9.76E-05,9.25E-05,,
3.70E+01,9.92E-05,9.24E-05,,
3.80E+01,9.24E-05,9.27E-05,,
3.90E+01,9.22E-05,9.29E-05,,
4.00E+01,9.64E-05,9.31E-05,,
4.10E+01,9.23E-05,9.36E-05,,
4.20E+01,9.70E-05,9.40E-05,,
4.30E+01,9.31E-05,9.40E-05,,
4.40E+01,9.17E-05,9.46E-05,,
4.50E+01,9.41E-05,9.43E-05,,
4.60E+01,9.46E-05,9.35E-05,,
4.70E+01,9.14E-05,9.35E-05,,
4.80E+01,9.27E-05,9.40E-05,,
4.90E+01,9.67E-05,9.35E-05,,
5.00E+01,9.13E-05,9.38E-05,,
5.10E+01,9.59E-05,9.40E-05,,
5.20E+01,9.80E-05,9.51E-05,,
5.30E+01,1.04E-04,9.55E-05,,
5.40E+01,9.60E-05,9.63E-05,,
5.50E+01,1.02E-04,9.69E-05,,
5.60E+01,9.99E-05,9.73E-05,,
5.70E+01,9.59E-05,9.74E-05,,
5.80E+01,9.37E-05,9.71E-05,,
5.90E+01,9.38E-05,9.74E-05,,
6.00E+01,9.38E-05,9.74E-05,,
6.10E+01,9.60E-05,9.77E-05,,
6.20E+01,1.01E-04,9.70E-05,,
6.30E+01,9.76E-05,9.69E-05,,
6.40E+01,9.51E-05,9.68E-05,,
6.50E+01,1.01E-04,9.65E-05,,
6.60E+01,9.70E-05,9.69E-05,,
6.70E+01,1.00E-04,9.70E-05,,
6.80E+01,9.43E-05,9.81E-05,,
6.90E+01,1.05E-04,9.83E-05,,
7.00E+01,9.60E-05,9.83E-05,,
7.10E+01,9.54E-05,9.78E-05,,
7.20E+01,9.62E-05,9.79E-05,,
7.30E+01,9.85E-05,9.78E-05,,
7.40E+01,9.46E-05,9.75E-05,,
7.50E+01,9.82E-05,9.80E-05,,
7.60E+01,1.02E-04,9.82E-05,,
7.70E+01,1.02E-04,9.83E-05,,
7.80E+01,9.55E-05,9.74E-05,,
7.90E+01,9.56E-05,9.74E-05,,
8.00E+01,9.62E-05,9.80E-05,,
8.10E+01,1.01E-04,9.80E-05,,
8.20E+01,9.72E-05,9.76E-05,,
8.30E+01,9.38E-05,9.84E-05,,
8.40E+01,1.02E-04,9.79E-05,,
8.50E+01,9.31E-05,9.73E-05,,
8.60E+01,9.64E-05,9.73E-05,,
8.70E+01,1.02E-04,9.70E-05,,
8.80E+01,9.23E-05,9.70E-05,,
8.90E+01,9.56E-05,9.69E-05,,
