Cycle number,Conductance
0,2.60E-05
1,2.10E-05
2,2.40E-05
3,2.17E-05
4,2.51E-05
5,2.72E-05
6,2.97E-05
7,2.58E-05
8,2.28E-05
9,2.11E-05
10,2.08E-05
11,1.73E-05
12,2.04E-05
13,1.52E-05
14,1.67E-05
15,1.74E-05
16,1.81E-05
17,1.82E-05
18,1.98E-05
19,1.72E-05
20,2.10E-05
21,1.55E-05
22,1.73E-05
23,1.39E-05
24,1.97E-05
25,1.37E-05
26,1.35E-05
27,1.72E-05
28,1.27E-05
29,1.24E-05
30,1.60E-05
31,1.16E-05
32,1.75E-05
33,1.31E-05
34,1.75E-05
35,1.34E-05
36,2.00E-05
37,1.20E-05
38,1.20E-05
39,1.37E-05
40,1.34E-05
41,1.18E-05
42,1.02E-05
43,1.27E-05
44,1.01E-05
45,1.62E-05
46,1.24E-05
47,1.17E-05
48,1.31E-05
49,1.44E-05
