Epoch,# of updates,Normalized Amain,Pulse direction,Normalized Aavg,Normalized Aref
0,0,-0.06218,-1,0,0
0,1,-0.06118,-1,0,0
0,2,-0.09834,-1,0,0
0,3,-0.07555,-1,0,0
0,4,-0.10429,-1,0,0
0,5,-0.05375,-1,-0.02688,0
0,6,-0.26431,-1,-0.02688,0
0,7,-0.30344,-1,-0.02688,0
0,8,-0.31187,-1,-0.02688,0
0,9,-0.3624,-1,-0.02688,0
0,10,-0.33218,-1,-0.17953,0
0,11,-0.3406,-1,-0.17953,0
0,12,-0.25341,-1,-0.17953,0
0,13,-0.2108,-1,-0.17953,0
0,14,-0.23854,-1,-0.17953,0
0,15,-0.23805,-1,-0.20879,0
0,16,-0.20287,-1,-0.20879,0
0,17,-0.1563,-1,-0.20879,0
0,18,-0.2212,-1,-0.20879,0
0,19,-0.40352,-1,0,-0.20879
0,20,-0.2752,-1,-0.1376,-0.20879
0,21,0.35843,1,-0.1376,-0.20879
0,22,0.4159,1,-0.1376,-0.20879
0,23,0.49715,1,-0.1376,-0.20879
0,24,0.42532,1,-0.1376,-0.20879
0,25,0.40154,1,0.13197,-0.20879
0,26,0.39609,1,0.13197,-0.20879
0,27,0.7949,1,0.13197,-0.20879
0,28,0.46346,1,0.13197,-0.20879
0,29,0.67302,1,0.13197,-0.20879
0,30,0.47288,1,0.30242,-0.20879
0,31,0.53976,1,0.30242,-0.20879
0,32,0.64776,1,0.30242,-0.20879
0,33,0.53629,1,0.30242,-0.20879
0,34,0.49517,1,0.30242,-0.20879
0,35,0.52044,1,0.41143,-0.20879
0,36,0.6646,1,0.41143,-0.20879
0,37,0.48873,1,0.41143,-0.20879
0,38,0.61556,1,0.41143,-0.20879
0,39,0.53778,1,0,0.41143
0,40,0.51895,1,0.25947,0.41143
0,41,-0.65222,-1,0.25947,0.41143
0,42,-0.67055,-1,0.25947,0.41143
0,43,-0.68343,-1,0.25947,0.41143
0,44,-0.65172,-1,0.25947,0.41143
0,45,-0.66807,-1,-0.2043,0.41143
0,46,-0.68789,-1,-0.2043,0.41143
0,47,-0.66956,-1,-0.2043,0.41143
0,48,-0.58385,-1,-0.2043,0.41143
0,49,-1.08818,-1,-0.2043,0.41143
0,50,-1.06837,-1,-0.63633,0.41143
0,51,-1.09165,-1,-0.63633,0.41143
0,52,-1.08521,-1,-0.63633,0.41143
0,53,-1.07877,-1,-0.63633,0.41143
0,54,-1.08323,-1,-0.63633,0.41143
0,55,-0.5026,-1,-0.56947,0.41143
