Epoch,# of updates,Normalized WA,Effective WA,Normalized WH,Normalized WC
0,0,-0.06218,-0.06218,0,0.25931
0,1,-0.06118,-0.06118,0,0.25931
0,2,-0.09834,-0.09834,0,0.25931
0,3,-0.07555,-0.07555,0,0.25931
0,4,-0.10429,-0.10429,0,0.25931
0,5,-0.05375,-0.05375,-0.00269,0.46339
0,6,-0.26431,-0.26431,-0.00269,0.46339
0,7,-0.30344,-0.30344,-0.00269,0.46339
0,8,-0.31187,-0.31187,-0.00269,0.46339
0,9,-0.3624,-0.3624,-0.00269,0.46339
0,10,-0.33218,-0.33218,-0.0193,0.35455
0,11,-0.3406,-0.3406,-0.0193,0.35455
0,12,-0.25341,-0.25341,-0.0193,0.35455
0,13,-0.2108,-0.2108,-0.0193,0.35455
0,14,-0.23854,-0.23854,-0.0193,0.35455
0,15,-0.23805,-0.23805,-0.0312,0.23863
0,16,-0.20287,-0.20287,-0.0312,0.23863
0,17,-0.1563,-0.1563,-0.0312,0.23863
0,18,-0.2212,-0.2212,-0.0312,0.23863
0,19,-0.19473,0.19473,-0.0312,0.23863
0,20,-0.06642,0.06642,-0.02788,0.35618
0,21,0.56722,-0.56722,-0.02788,0.35618
0,22,0.62469,-0.62469,-0.02788,0.35618
0,23,0.70594,-0.70594,-0.02788,0.35618
0,24,0.6341,-0.6341,-0.02788,0.35618
0,25,0.61032,-0.61032,-0.05839,0.41386
0,26,0.60487,-0.60487,-0.05839,0.41386
0,27,1.00368,-1.00368,-0.05839,0.41386
0,28,0.67225,-0.67225,-0.05839,0.41386
0,29,0.88181,-0.88181,-0.05839,0.41386
0,30,0.68166,-0.68166,-0.09248,0.37631
0,31,0.74854,-0.74854,-0.09248,0.37631
0,32,0.85655,-0.85655,-0.09248,0.37631
0,33,0.74508,-0.74508,-0.09248,0.37631
0,34,0.70396,-0.70396,-0.09248,0.37631
0,35,0.72922,-0.72922,-0.12894,0.26693
0,36,0.87339,-0.87339,-0.12894,0.26693
0,37,0.69752,-0.69752,-0.12894,0.26693
0,38,0.82434,-0.82434,-0.12894,0.26693
0,39,0.12635,0.12635,-0.12894,0.26693
0,40,0.10752,0.10752,-0.12356,0.38502
0,41,-1.06365,-1.06365,-0.12356,0.38502
0,42,-1.08198,-1.08198,-0.12356,0.38502
0,43,-1.09486,-1.09486,-0.12356,0.38502
0,44,-1.06315,-1.06315,-0.12356,0.38502
0,45,-1.0795,-1.0795,-0.17754,0.38448
0,46,-1.09932,-1.09932,-0.17754,0.38448
0,47,-1.08099,-1.08099,-0.17754,0.38448
0,48,-0.99528,-0.99528,-0.17754,0.38448
0,49,-1.49961,-1.49961,-0.17754,0.38448
0,50,-1.4798,-1.4798,-0.25153,0.2272
0,51,-1.50308,-1.50308,-0.25153,0.2272
0,52,-1.49664,-1.49664,-0.25153,0.2272
0,53,-1.4902,-1.4902,-0.25153,0.2272
0,54,-1.49466,-1.49466,-0.25153,0.2272
0,55,-0.91403,-0.91403,-0.29723,0.28162
0,56,-0.95465,-0.95465,-0.29723,0.28162
0,57,-0.95763,-0.95763,-0.29723,0.28162
0,58,-1.00023,-1.00023,-0.29723,0.28162
0,59,0.07132,-0.07132,-0.29723,0.28162
0,60,0.01336,-0.01336,-0.2979,0.3589
0,61,0.96258,-0.96258,-0.2979,0.3589
0,62,1.02897,-1.02897,-0.2979,0.3589
0,63,0.94524,-0.94524,-0.2979,0.3589
0,64,1.03095,-1.03095,-0.2979,0.3589
0,65,1.01906,-1.01906,-0.34885,0.33495
0,66,1.12508,-1.12508,-0.34885,0.33495
0,67,1.00023,-1.00023,-0.34885,0.33495
0,68,1.16124,-1.16124,-0.34885,0.33495
0,69,1.10625,-1.10625,-0.34885,0.33495
0,70,1.08643,-1.08643,-0.40317,0.26475
0,71,1.12161,-1.12161,-0.40317,0.26475
0,72,1.0468,-1.0468,-0.40317,0.26475
0,73,1.24794,-1.24794,-0.40317,0.26475
0,74,1.17462,-1.17462,-0.40317,0.26475
0,75,1.11121,-1.11121,-0.45873,0.32842
0,76,1.17363,-1.17363,-0.45873,0.32842
0,77,1.24596,-1.24596,-0.45873,0.32842
0,78,1.19889,-1.19889,-0.45873,0.32842
0,79,0.17914,0.17914,-0.45873,0.32842
0,80,0.02011,0.02011,-0.45773,0.24135
0,81,0.04389,0.04389,-0.45773,0.24135
0,82,0.16279,0.16279,-0.45773,0.24135
0,83,0.05479,0.05479,-0.45773,0.24135
0,84,-0.96478,-0.96478,-0.45773,0.24135
0,85,-1.36062,-1.36062,-0.52576,0.28162
0,86,-1.36953,-1.36953,-0.52576,0.28162
0,87,-1.23874,-1.23874,-0.52576,0.28162
0,88,-1.16592,-1.16592,-0.52576,0.28162
0,89,-1.12628,-1.12628,-0.52576,0.28162
0,90,-1.14462,-1.14462,-0.58299,0.24244
0,91,-1.13768,-1.13768,-0.58299,0.24244
0,92,-1.15799,-1.15799,-0.58299,0.24244
0,93,-1.26698,-1.26698,-0.58299,0.24244
0,94,-1.28383,-1.28383,-0.58299,0.24244
0,95,-1.06683,-1.06683,-0.63633,0.43237
0,96,-1.24717,-1.24717,-0.63633,0.43237
0,97,-1.23082,-1.23082,-0.63633,0.43237
0,98,-1.00342,-1.00342,-0.63633,0.43237
0,99,-0.0189,0.0189,-0.63633,0.43237
1,100,0.01726,-0.01726,-0.63719,0.26421
1,101,-0.03624,0.03624,-0.63719,0.26421
1,102,0.03064,-0.03064,-0.63719,0.26421
1,103,0.06235,-0.06235,-0.63719,0.26421
1,104,1.07746,-1.07746,-0.63719,0.26421
1,105,1.15078,-1.15078,-0.69473,0.33713
1,106,0.94072,-0.94072,-0.69473,0.33713
1,107,1.00116,-1.00116,-0.69473,0.33713
1,108,0.99967,-0.99967,-0.69473,0.33713
1,109,1.00166,-1.00166,-0.69473,0.33713
1,110,1.05863,-1.05863,-0.74766,0.42856
1,111,1.03435,-1.03435,-0.74766,0.42856
1,112,1.01454,-1.01454,-0.74766,0.42856
1,113,1.02345,-1.02345,-0.74766,0.42856
1,114,1.13096,-1.13096,-0.74766,0.42856
