Epoch,# of updates,Normalized WA,Effective WA,Pulse direction
0,0,-1.23433,-1.23433,-1
0,1,-1.19074,-1.19074,-1
0,2,-1.15903,-1.15903,-1
0,3,-1.15259,-1.15259,-1
0,4,-1.13376,-1.13376,-1
0,5,-1.05053,-1.05053,-1
0,6,-1.04607,-1.04607,-1
0,7,-1.08818,-1.08818,-1
0,8,-1.10305,-1.10305,-1
0,9,-1.09958,-1.09958,-1
0,10,-1.07927,-1.07927,-1
0,11,-1.04806,-1.04806,-1
0,12,-1.14863,-1.14863,-1
0,13,-0.79737,-0.79737,-1
0,14,-0.80481,-0.80481,-1
0,15,-0.91528,-0.91528,-1
0,16,-0.46644,-0.46644,-1
0,17,-0.44662,-0.44662,-1
0,18,-0.48625,-0.48625,-1
0,19,0.11193,-0.11193,-1
0,20,1.31728,-1.31728,1
0,21,1.33561,-1.33561,1
0,22,1.3371,-1.3371,1
0,23,1.35444,-1.35444,1
0,24,1.57242,-1.57242,1
0,25,1.52288,-1.52288,1
0,26,1.4887,-1.4887,1
0,27,1.55806,-1.55806,1
0,28,1.38119,-1.38119,1
0,29,1.33512,-1.33512,1
0,30,1.36633,-1.36633,1
0,31,1.42528,-1.42528,1
0,32,1.27517,-1.27517,1
0,33,1.34205,-1.34205,1
0,34,1.42578,-1.42578,1
0,35,1.33016,-1.33016,1
0,36,1.32571,-1.32571,1
0,37,1.34305,-1.34305,1
0,38,1.30787,-1.30787,1
0,39,0.05213,0.05213,1
0,40,-0.68803,-0.68803,-1
0,41,-0.74153,-0.74153,-1
0,42,-0.63155,-0.63155,-1
0,43,-0.6479,-0.6479,-1
0,44,-0.66821,-0.66821,-1
0,45,-1.51537,-1.51537,-1
0,46,-1.4906,-1.4906,-1
0,47,-1.52974,-1.52974,-1
0,48,-1.67242,-1.67242,-1
0,49,-1.67341,-1.67341,-1
0,50,-1.40638,-1.40638,-1
0,51,-1.73881,-1.73881,-1
0,52,-1.64815,-1.64815,-1
0,53,-1.4579,-1.4579,-1
0,54,-1.67143,-1.67143,-1
0,55,-1.64418,-1.64418,-1
0,56,-1.37567,-1.37567,-1
0,57,-1.4797,-1.4797,-1
0,58,-1.48168,-1.48168,-1
0,59,-0.04296,0.04296,-1
0,60,-0.02315,0.02315,-1
0,61,-0.02859,0.02859,-1
0,62,1.43883,-1.43883,1
0,63,1.62759,-1.62759,1
0,64,1.59043,-1.59043,1
0,65,1.53742,-1.53742,1
0,66,1.49035,-1.49035,1
0,67,1.43289,-1.43289,1
0,68,1.5825,-1.5825,1
0,69,1.46608,-1.46608,1
0,70,1.59241,-1.59241,1
0,71,1.4527,-1.4527,1
0,72,1.5072,-1.5072,1
0,73,1.49135,-1.49135,1
0,74,1.51463,-1.51463,1
0,75,1.44279,-1.44279,1
0,76,1.63006,-1.63006,1
0,77,1.70834,-1.70834,1
0,78,1.57953,-1.57953,1
0,79,0.17799,0.17799,1
0,80,0.16016,0.16016,1
0,81,-0.44821,-0.44821,-1
0,82,-0.40016,-0.40016,-1
0,83,-0.41799,-0.41799,-1
0,84,-0.88369,-0.88369,-1
0,85,-0.88715,-0.88715,-1
0,86,-1.33551,-1.33551,-1
0,87,-0.94264,-0.94264,-1
0,88,-0.98376,-0.98376,-1
0,89,-1.55894,-1.55894,-1
0,90,-0.83315,-0.83315,-1
0,91,-0.91093,-0.91093,-1
0,92,-1.26912,-1.26912,-1
0,93,-1.2171,-1.2171,-1
0,94,-1.49305,-1.49305,-1
0,95,-1.49206,-1.49206,-1
0,96,-1.50048,-1.50048,-1
0,97,-1.46283,-1.46283,-1
0,98,-1.48611,-1.48611,-1
0,99,-0.44301,0.44301,-1
1,100,-0.43508,0.43508,-1
1,101,-0.40635,0.40635,-1
1,102,1.02739,-1.02739,1
1,103,1.0586,-1.0586,1
1,104,1.17849,-1.17849,1
1,105,1.18889,-1.18889,1
1,106,1.40044,-1.40044,1
1,107,1.2206,-1.2206,1
1,108,1.18443,-1.18443,1
1,109,1.21366,-1.21366,1
1,110,1.20722,-1.20722,1
1,111,1.18543,-1.18543,1
1,112,1.19583,-1.19583,1
1,113,1.34495,-1.34495,1
1,114,1.28798,-1.28798,1
1,115,1.29244,-1.29244,1
1,116,1.31869,-1.31869,1
1,117,1.15273,-1.15273,1
1,118,1.15223,-1.15223,1
1,119,0.21815,0.21815,1
1,120,-1.31417,-1.31417,-1
1,121,-1.33547,-1.33547,-1
1,122,-1.32953,-1.32953,-1
1,123,-1.2676,-1.2676,-1
1,124,-1.29683,-1.29683,-1
1,125,-1.32458,-1.32458,-1
1,126,-1.32606,-1.32606,-1
1,127,-1.34736,-1.34736,-1
1,128,-1.29881,-1.29881,-1
1,129,-1.33102,-1.33102,-1
1,130,-1.63669,-1.63669,-1
1,131,-1.7219,-1.7219,-1
1,132,-1.72041,-1.72041,-1
