Epoch,# of updates,Normalized WC,Normalized WH
0,0,0.39155,0
0,1,0.39155,0
0,2,0.39155,0
0,3,0.39155,0
0,4,0.39155,0
0,5,0.37795,-0.05253
0,6,0.37795,-0.05253
0,7,0.37795,-0.05253
0,8,0.37795,-0.05253
0,9,0.37795,-0.05253
0,10,0.41114,-0.10649
0,11,0.41114,-0.10649
0,12,0.41114,-0.10649
0,13,0.41114,-0.10649
0,14,0.41114,-0.10649
0,15,0.36815,-0.15225
0,16,0.36815,-0.15225
0,17,0.36815,-0.15225
0,18,0.36815,-0.15225
0,19,0.36815,-0.15225
0,20,0.28162,-0.21812
0,21,0.28162,-0.21812
0,22,0.28162,-0.21812
0,23,0.28162,-0.21812
0,24,0.28162,-0.21812
0,25,0.32026,-0.29426
0,26,0.32026,-0.29426
0,27,0.32026,-0.29426
0,28,0.32026,-0.29426
0,29,0.32026,-0.29426
0,30,0.3774,-0.36258
0,31,0.3774,-0.36258
0,32,0.3774,-0.36258
0,33,0.3774,-0.36258
0,34,0.3774,-0.36258
0,35,0.30938,-0.42909
0,36,0.30938,-0.42909
0,37,0.30938,-0.42909
0,38,0.30938,-0.42909
0,39,0.30938,-0.42909
0,40,0.37686,-0.46349
0,41,0.37686,-0.46349
0,42,0.37686,-0.46349
0,43,0.37686,-0.46349
0,44,0.37686,-0.46349
0,45,0.30938,-0.53926
0,46,0.30938,-0.53926
0,47,0.30938,-0.53926
0,48,0.30938,-0.53926
0,49,0.30938,-0.53926
0,50,0.38502,-0.60958
0,51,0.38502,-0.60958
0,52,0.38502,-0.60958
0,53,0.38502,-0.60958
0,54,0.38502,-0.60958
0,55,0.33006,-0.69179
0,56,0.33006,-0.69179
0,57,0.33006,-0.69179
0,58,0.33006,-0.69179
0,59,0.33006,-0.69179
0,60,0.33713,-0.69063
0,61,0.33713,-0.69063
0,62,0.33713,-0.69063
0,63,0.33713,-0.69063
0,64,0.33713,-0.69063
0,65,0.38883,-0.7675
0,66,0.38883,-0.7675
0,67,0.38883,-0.7675
0,68,0.38883,-0.7675
0,69,0.38883,-0.7675
0,70,0.35999,-0.84712
0,71,0.35999,-0.84712
0,72,0.35999,-0.84712
0,73,0.35999,-0.84712
0,74,0.35999,-0.84712
0,75,0.45577,-0.91926
0,76,0.45577,-0.91926
0,77,0.45577,-0.91926
0,78,0.45577,-0.91926
0,79,0.45577,-0.91926
0,80,0.41876,-0.91125
0,81,0.41876,-0.91125
0,82,0.41876,-0.91125
0,83,0.41876,-0.91125
0,84,0.41876,-0.91125
0,85,0.36434,-0.95561
0,86,0.36434,-0.95561
0,87,0.36434,-0.95561
0,88,0.36434,-0.95561
0,89,0.36434,-0.95561
0,90,0.35672,-0.99727
0,91,0.35672,-0.99727
0,92,0.35672,-0.99727
0,93,0.35672,-0.99727
0,94,0.35672,-0.99727
0,95,-0.01226,0
0,96,-0.01226,0
0,97,-0.01226,0
0,98,-0.01226,0
0,99,-0.01226,0
1,100,0.07863,0.02175
1,101,0.07863,0.02175
1,102,0.07863,0.02175
1,103,0.07863,0.02175
1,104,0.07863,0.02175
1,105,0.05958,-0.03769
1,106,0.05958,-0.03769
1,107,0.05958,-0.03769
1,108,0.05958,-0.03769
1,109,0.05958,-0.03769
1,110,0.03944,-0.09805
1,111,0.03944,-0.09805
1,112,0.03944,-0.09805
1,113,0.03944,-0.09805
1,114,0.03944,-0.09805
1,115,0.13196,-0.16267
1,116,0.13196,-0.16267
1,117,0.13196,-0.16267
1,118,0.13196,-0.16267
1,119,0.13196,-0.16267
1,120,-0.02804,-0.22838
1,121,-0.02804,-0.22838
1,122,-0.02804,-0.22838
1,123,-0.02804,-0.22838
1,124,-0.02804,-0.22838
1,125,0.01822,-0.29461
1,126,0.01822,-0.29461
1,127,0.01822,-0.29461
1,128,0.01822,-0.29461
1,129,0.01822,-0.29461
1,130,0.12706,-0.37645
1,131,0.12706,-0.37645
1,132,0.12706,-0.37645
1,133,0.12706,-0.37645
1,134,0.12706,-0.37645
1,135,-0.04437,-0.46264
1,136,-0.04437,-0.46264
1,137,-0.04437,-0.46264
1,138,-0.04437,-0.46264
1,139,-0.04437,-0.46264
1,140,0.03291,-0.54157
1,141,0.03291,-0.54157
1,142,0.03291,-0.54157
1,143,0.03291,-0.54157
1,144,0.03291,-0.54157
1,145,-0.06668,-0.62548
1,146,-0.06668,-0.62548
1,147,-0.06668,-0.62548
1,148,-0.06668,-0.62548
1,149,-0.06668,-0.62548
1,150,0.0574,-0.71264
1,151,0.0574,-0.71264
1,152,0.0574,-0.71264
1,153,0.0574,-0.71264
1,154,0.0574,-0.71264
1,155,-0.00246,-0.7941
1,156,-0.00246,-0.7941
1,157,-0.00246,-0.7941
1,158,-0.00246,-0.7941
1,159,-0.00246,-0.7941
1,160,0.01659,-0.82377
1,161,0.01659,-0.82377
1,162,0.01659,-0.82377
1,163,0.01659,-0.82377
1,164,0.01659,-0.82377
1,165,0.02856,-0.85063
1,166,0.02856,-0.85063
1,167,0.02856,-0.85063
1,168,0.02856,-0.85063
1,169,0.02856,-0.85063
1,170,-0.00627,-0.89499
1,171,-0.00627,-0.89499
1,172,-0.00627,-0.89499
1,173,-0.00627,-0.89499
1,174,-0.00627,-0.89499
1,175,-0.02913,-0.95334
1,176,-0.02913,-0.95334
1,177,-0.02913,-0.95334
1,178,-0.02913,-0.95334
1,179,-0.02913,-0.95334
1,180,-0.03239,-0.9469
1,181,-0.03239,-0.9469
1,182,-0.03239,-0.9469
1,183,-0.03239,-0.9469
1,184,-0.03239,-0.9469
1,185,-0.23811,0
1,186,-0.23811,0
1,187,-0.23811,0
1,188,-0.23811,0
1,189,-0.23811,0
1,190,-0.36056,-0.05239
1,191,-0.36056,-0.05239
1,192,-0.36056,-0.05239
1,193,-0.36056,-0.05239
1,194,-0.36056,-0.05239
1,195,-0.27294,-0.09624
1,196,-0.27294,-0.09624
1,197,-0.27294,-0.09624
1,198,-0.27294,-0.09624
1,199,-0.27294,-0.09624
2,200,-0.28818,-0.09496
2,201,-0.28818,-0.09496
2,202,-0.28818,-0.09496
2,203,-0.28818,-0.09496
2,204,-0.28818,-0.09496
2,205,-0.34641,-0.13275
2,206,-0.34641,-0.13275
2,207,-0.34641,-0.13275
2,208,-0.34641,-0.13275
2,209,-0.34641,-0.13275
2,210,-0.25335,-0.17307
2,211,-0.25335,-0.17307
2,212,-0.25335,-0.17307
2,213,-0.25335,-0.17307
2,214,-0.25335,-0.17307
2,215,-0.24301,-0.21742
