Epoch,# of updates,Mean squared error
0,0,0.14851
0,1,0.14851
0,2,0.14851
0,3,0.14851
0,4,0.14851
0,5,0.12633
0,6,0.12633
0,7,0.12633
0,8,0.12633
0,9,0.12633
0,10,0.16435
0,11,0.16435
0,12,0.16435
0,13,0.16435
0,14,0.16435
0,15,0.22464
0,16,0.22464
0,17,0.22464
0,18,0.22464
0,19,0.22464
0,20,0.17841
0,21,0.17841
0,22,0.17841
0,23,0.17841
0,24,0.17841
0,25,0.22751
0,26,0.22751
0,27,0.22751
0,28,0.22751
0,29,0.22751
0,30,0.18812
0,31,0.18812
0,32,0.18812
0,33,0.18812
0,34,0.18812
0,35,0.12851
0,36,0.12851
0,37,0.12851
0,38,0.12851
0,39,0.12851
0,40,0.14984
0,41,0.14984
0,42,0.14984
0,43,0.14984
0,44,0.14984
0,45,0.11986
0,46,0.11986
0,47,0.11986
0,48,0.11986
0,49,0.11986
0,50,0.11839
0,51,0.11839
0,52,0.11839
0,53,0.11839
0,54,0.11839
0,55,0.12004
0,56,0.12004
0,57,0.12004
0,58,0.12004
0,59,0.12004
0,60,0.11949
0,61,0.11949
0,62,0.11949
0,63,0.11949
0,64,0.11949
0,65,0.13653
0,66,0.13653
0,67,0.13653
0,68,0.13653
0,69,0.13653
0,70,0.13506
0,71,0.13506
0,72,0.13506
0,73,0.13506
0,74,0.13506
0,75,0.12619
0,76,0.12619
0,77,0.12619
0,78,0.12619
0,79,0.12619
0,80,0.18377
0,81,0.18377
0,82,0.18377
0,83,0.18377
0,84,0.18377
0,85,0.10728
0,86,0.10728
0,87,0.10728
0,88,0.10728
0,89,0.10728
0,90,0.10627
0,91,0.10627
0,92,0.10627
0,93,0.10627
0,94,0.10627
0,95,0.20196
0,96,0.20196
0,97,0.20196
0,98,0.20196
0,99,0.20196
1,100,0.17842
1,101,0.17842
1,102,0.17842
1,103,0.17842
1,104,0.17842
1,105,0.10649
1,106,0.10649
1,107,0.10649
1,108,0.10649
1,109,0.10649
1,110,0.11696
1,111,0.11696
1,112,0.11696
1,113,0.11696
1,114,0.11696
1,115,0.15349
1,116,0.15349
1,117,0.15349
1,118,0.15349
1,119,0.15349
1,120,0.16568
1,121,0.16568
1,122,0.16568
1,123,0.16568
1,124,0.16568
1,125,0.1119
1,126,0.1119
1,127,0.1119
1,128,0.1119
1,129,0.1119
1,130,0.17889
1,131,0.17889
1,132,0.17889
1,133,0.17889
1,134,0.17889
1,135,0.13937
1,136,0.13937
1,137,0.13937
1,138,0.13937
1,139,0.13937
1,140,0.12702
1,141,0.12702
1,142,0.12702
1,143,0.12702
1,144,0.12702
1,145,0.19262
1,146,0.19262
1,147,0.19262
1,148,0.19262
1,149,0.19262
1,150,0.13431
1,151,0.13431
1,152,0.13431
1,153,0.13431
1,154,0.13431
1,155,0.14294
1,156,0.14294
1,157,0.14294
1,158,0.14294
1,159,0.14294
1,160,0.16194
1,161,0.16194
1,162,0.16194
1,163,0.16194
1,164,0.16194
1,165,0.1146
1,166,0.1146
1,167,0.1146
1,168,0.1146
1,169,0.1146
1,170,0.03766
1,171,0.03766
1,172,0.03766
1,173,0.03766
1,174,0.03766
1,175,0.0076
1,176,0.0076
1,177,0.0076
1,178,0.0076
1,179,0.0076
1,180,0.00526
1,181,0.00526
1,182,0.00526
1,183,0.00526
1,184,0.00526
1,185,0.00955
1,186,0.00955
1,187,0.00955
1,188,0.00955
1,189,0.00955
1,190,0.0068
1,191,0.0068
1,192,0.0068
1,193,0.0068
1,194,0.0068
1,195,0.00629
1,196,0.00629
1,197,0.00629
1,198,0.00629
1,199,0.00629
2,200,0.0078
2,201,0.0078
2,202,0.0078
2,203,0.0078
2,204,0.0078
2,205,0.0044
2,206,0.0044
2,207,0.0044
2,208,0.0044
2,209,0.0044
2,210,0.00317
2,211,0.00317
2,212,0.00317
2,213,0.00317
2,214,0.00317
2,215,0.00703
2,216,0.00703
2,217,0.00703
2,218,0.00703
2,219,0.00703
2,220,0.00963
2,221,0.00963
2,222,0.00963
2,223,0.00963
2,224,0.00963
2,225,0.00686
2,226,0.00686
2,227,0.00686
2,228,0.00686
2,229,0.00686
2,230,0.00315
2,231,0.00315
2,232,0.00315
2,233,0.00315
2,234,0.00315
2,235,0.00734
2,236,0.00734
2,237,0.00734
2,238,0.00734
2,239,0.00734
2,240,0.01401
2,241,0.01401
2,242,0.01401
2,243,0.01401
2,244,0.01401
2,245,0.00234
2,246,0.00234
2,247,0.00234
2,248,0.00234
2,249,0.00234
2,250,0.01095
2,251,0.01095
2,252,0.01095
2,253,0.01095
2,254,0.01095
2,255,0.00798
2,256,0.00798
2,257,0.00798
2,258,0.00798
2,259,0.00798
2,260,0.01306
2,261,0.01306
2,262,0.01306
2,263,0.01306
2,264,0.01306
2,265,0.01123
2,266,0.01123
2,267,0.01123
2,268,0.01123
2,269,0.01123
2,270,0.02062
2,271,0.02062
2,272,0.02062
2,273,0.02062
2,274,0.02062
2,275,0.01608
2,276,0.01608
2,277,0.01608
2,278,0.01608
2,279,0.01608
2,280,0.01531
2,281,0.01531
2,282,0.01531
2,283,0.01531
2,284,0.01531
2,285,0.02026
2,286,0.02026
2,287,0.02026
2,288,0.02026
2,289,0.02026
2,290,0.00722
2,291,0.00722
2,292,0.00722
2,293,0.00722
2,294,0.00722
2,295,0.01193
2,296,0.01193
2,297,0.01193
2,298,0.01193
2,299,0.01193
3,300,0.0117
3,301,0.0117
3,302,0.0117
3,303,0.0117
3,304,0.0117
3,305,0.00711
3,306,0.00711
3,307,0.00711
3,308,0.00711
3,309,0.00711
3,310,0.01382
3,311,0.01382
3,312,0.01382
3,313,0.01382
3,314,0.01382
3,315,0.01699
3,316,0.01699
3,317,0.01699
3,318,0.01699
3,319,0.01699
