Epoch,# of updates,Normalized WA,Effective WA,Normalized WH,Normalized WC
0,0,-1.15011,-1.15011,0,-0.526
0,1,-1.13129,-1.13129,0,-0.526
0,2,-1.15853,-1.15853,0,-0.526
0,3,0.5244,0.5244,0,-0.526
0,4,0.52143,0.52143,0,-0.526
0,5,0.52836,0.52836,0.02642,-0.54069
0,6,0.66361,0.66361,0.02642,-0.54069
0,7,0.55115,0.55115,0.02642,-0.54069
0,8,0.5353,0.5353,0.02642,-0.54069
0,9,0.59128,0.59128,0.02642,-0.54069
0,10,0.46644,0.46644,0.04974,-0.49607
0,11,0.70919,0.70919,0.04974,-0.49607
0,12,0.5997,0.5997,0.04974,-0.49607
0,13,0.51449,0.51449,0.04974,-0.49607
0,14,0.56601,0.56601,0.04974,-0.49607
0,15,0.66559,0.66559,0.08302,-0.54777
0,16,0.55165,0.55165,0.08302,-0.54777
0,17,0.67203,0.67203,0.08302,-0.54777
0,18,0.67748,0.67748,0.08302,-0.54777
0,19,0.18185,-0.18185,0.08302,-0.54777
0,20,-1.68587,1.68587,0.16731,-0.54287
0,21,-1.19541,1.19541,0.16731,-0.54287
0,22,-1.19739,1.19739,0.16731,-0.54287
0,23,-1.24148,1.24148,0.16731,-0.54287
0,24,-1.2727,1.2727,0.16731,-0.54287
0,25,-1.5853,1.5853,0.24658,-0.54124
0,26,-1.02053,1.02053,0.24658,-0.54124
0,27,-0.84218,0.84218,0.24658,-0.54124
0,28,-0.96009,0.96009,0.24658,-0.54124
0,29,-0.88776,0.88776,0.24658,-0.54124
0,30,-0.90807,0.90807,0.29198,-0.53525
0,31,-0.98932,0.98932,0.29198,-0.53525
0,32,-0.89717,0.89717,0.29198,-0.53525
0,33,-1.13596,1.13596,0.29198,-0.53525
0,34,-1.65318,1.65318,0.29198,-0.53525
0,35,-1.6185,1.6185,0.37291,-0.5396
0,36,-1.65764,1.65764,0.37291,-0.5396
0,37,-1.21572,1.21572,0.37291,-0.5396
0,38,-1.12011,1.12011,0.37291,-0.5396
0,39,0.28163,0.28163,0.37291,-0.5396
0,40,0.29501,0.29501,0.38766,-0.53416
0,41,0.31928,0.31928,0.38766,-0.53416
0,42,0.29401,0.29401,0.38766,-0.53416
0,43,0.28113,0.28113,0.38766,-0.53416
0,44,1.36263,1.36263,0.38766,-0.53416
0,45,1.39235,1.39235,0.45727,-0.52981
0,46,1.41465,1.41465,0.45727,-0.52981
0,47,1.37105,1.37105,0.45727,-0.52981
0,48,1.33935,1.33935,0.45727,-0.52981
0,49,1.38046,1.38046,0.45727,-0.52981
0,50,1.40177,1.40177,0.52736,-0.52545
0,51,1.40078,1.40078,0.52736,-0.52545
0,52,1.41514,1.41514,0.52736,-0.52545
0,53,1.3874,1.3874,0.52736,-0.52545
0,54,1.44883,1.44883,0.52736,-0.52545
0,55,1.44536,1.44536,0.59963,-0.45906
0,56,1.32399,1.32399,0.59963,-0.45906
0,57,1.46023,1.46023,0.59963,-0.45906
0,58,1.60489,1.60489,0.59963,-0.45906
0,59,0.06628,-0.06628,0.59963,-0.45906
0,60,-0.31123,0.31123,0.61519,-0.51511
0,61,-0.3687,0.3687,0.61519,-0.51511
0,62,-0.23741,0.23741,0.61519,-0.51511
0,63,-0.38406,0.38406,0.61519,-0.51511
0,64,-0.38604,0.38604,0.61519,-0.51511
0,65,-0.27507,0.27507,0.62895,-0.54124
0,66,-0.38406,0.38406,0.62895,-0.54124
0,67,-0.27655,0.27655,0.62895,-0.54124
0,68,-0.36127,0.36127,0.62895,-0.54124
0,69,-0.77791,0.77791,0.62895,-0.54124
0,70,-0.76751,0.76751,0.66732,-0.49008
0,71,-0.67239,0.67239,0.66732,-0.49008
0,72,-0.8012,0.8012,0.66732,-0.49008
0,73,-0.85669,0.85669,0.66732,-0.49008
0,74,-0.79079,0.79079,0.66732,-0.49008
0,75,-0.81408,0.81408,0.70803,-0.53688
0,76,-0.83687,0.83687,0.70803,-0.53688
0,77,-0.82646,0.82646,0.70803,-0.53688
0,78,-0.86659,0.86659,0.70803,-0.53688
0,79,-0.18196,-0.18196,0.70803,-0.53688
0,80,0.65431,0.65431,0.74074,-0.5211
0,81,0.71871,0.71871,0.74074,-0.5211
0,82,0.93769,0.93769,0.74074,-0.5211
0,83,0.69245,0.69245,0.74074,-0.5211
0,84,0.86189,0.86189,0.74074,-0.5211
0,85,0.82275,0.82275,0.78188,-0.52382
0,86,0.94016,0.94016,0.78188,-0.52382
0,87,0.78956,0.78956,0.78188,-0.52382
0,88,0.86932,0.86932,0.78188,-0.52382
0,89,1.00308,1.00308,0.78188,-0.52382
0,90,0.90994,0.90994,0.82738,-0.55484
0,91,0.78361,0.78361,0.82738,-0.55484
0,92,0.81383,0.81383,0.82738,-0.55484
0,93,0.96939,0.96939,0.82738,-0.55484
0,94,0.84653,0.84653,0.82738,-0.55484
