Accumulated WA(AGAD),Accumulated WA(c-TTv2)
0.58617,0.27115
0.61057,0.31487
0.58821,0.03526
0.43976,-0.06744
0.23233,-0.03185
0.11235,0.02712
-0.00458,-0.12031
0.08998,-0.16505
0.0361,-0.38772
-0.08897,-0.3257
-0.00559,-0.38569
-0.26284,-0.27079
-0.36553,-0.32265
-0.32689,-0.344
-0.3818,-0.3501
-0.74682,-0.23724
-0.74987,-0.31553
-0.77529,-0.33892
-0.78038,-0.31757
-0.42368,-0.42534
-0.72731,-0.19184
-0.88085,-0.17659
-0.79849,-0.1471
-0.84628,-0.28233
-0.86966,-0.26403
-0.93779,-0.19082
-0.68257,0.09693
-0.67139,0.09286
-0.72121,0.14776
-0.69783,0.1925
-0.61445,-0.05661
-0.83407,-0.04034
-0.91237,-0.10236
-0.62055,-0.15219
-0.63784,-0.31182
-0.58801,-0.11151
-0.63479,-0.18981
-0.62462,-0.14405
-0.75883,-0.15727
-0.00397,-0.15422
-0.05093,-0.17827
-0.11601,-0.23927
-0.02653,-0.1803
-0.03467,-0.30638
-0.11702,-0.1681
-0.27463,-0.66632
-0.18108,-0.59006
-0.49933,-0.54329
-0.91723,-0.31553
-0.81657,-0.46805
-0.9579,-0.55346
-1.03517,-0.93882
-0.964,-0.99372
-0.96807,-0.96729
-0.95688,-0.7558
-0.98434,-0.7436
-1.42053,-1.19301
-1.44697,-1.18386
-1.49752,-1.16657
-0.52049,-1.20114
0.50219,1.18081
0.51338,1.19301
-0.89181,1.14624
-0.91926,1.19504
-0.87452,1.2225
-0.88164,1.19199
-0.91926,1.19199
-1.02907,0.0471
-0.90808,0.1742
-0.98434,0.05524
-1.1155,0.18132
-1.02907,0.11624
-0.96908,0.10303
-1.09821,0.05727
-0.92536,0.10811
-0.94976,0.14166
-0.94265,0.0166
-0.98027,0.08574
-0.98739,0.13251
-0.13997,-0.13897
0.11353,0.03322
-0.12338,0.05051
-0.12948,0.01085
-0.25759,0.03221
-0.27691,-0.25961
-0.25658,-0.20674
-0.60126,-0.07557
-0.75175,-0.30231
-0.77412,-0.31553
-0.77208,-0.26266
-0.74056,-0.37959
-0.7548,-0.29621
-0.84427,-0.40704
-0.8158,-0.41518
-0.78428,-0.32977
-1.51738,-0.32163
-1.06085,-0.73139
-1.04255,-0.72733
-1.02424,-0.76088
-0.57038,-0.96525
-1.13679,0.95508
-1.16424,0.91238
-1.31371,0.91645
-1.22423,1.00694
-1.30456,0.12336
-1.32896,0.26978
-1.09103,0.27994
-1.13679,0.22301
-1.12967,0.11116
-1.0524,0.12641
-1.21406,0.11218
-1.18966,0.32977
-1.392,0.35112
-1.30557,0.48025
-1.21813,0.49957
-1.28422,0.24436
-1.0707,0.21487
-1.20288,0.11929
-1.21203,0.09998
-0.036,0.14675
-0.15007,-0.21385
-0.17956,-0.647
-0.16024,-0.71004
-0.19888,-0.62972
-0.05754,-0.97644
-0.16837,-1.19708
-0.18769,-0.96932
-0.06974,-0.98966
-0.19379,-0.80969
0.00855,-0.79545
-0.87808,-0.98355
-0.97163,-1.51431
-0.99196,-1.57735
-0.93197,-1.60786
-1.01535,-1.63633
-0.94316,-1.60786
-1.00823,-1.66683
-1.08449,-1.61192
-1.05602,-1.57634
-0.28791,-1.20826
0.24927,1.10455
0.21673,1.11269
0.22283,1.17166
0.2574,1.10658
0.27672,1.10963
-0.89054,0.16098
-0.76242,0.10506
-0.80106,0.0227
-0.76852,-0.11151
-0.75531,-0.01899
-0.79699,-0.13083
-0.76852,-0.12677
-0.79598,-0.02916
-0.73192,-0.17862
-0.76344,-0.11965
-0.72175,-0.11863
-1.01662,-0.31792
-0.77157,-0.37791
-0.80309,-0.13998
-0.26033,-0.16642
0.11798,0.18777
0.26846,0.14608
-0.18706,-0.24131
-0.45447,-0.32265
-0.53988,-0.39586
-0.44125,-0.43449
-0.37414,-0.23927
-0.41176,-0.32468
-0.31619,-0.2169
-0.21146,-0.18538
-0.29992,-0.28198
-0.30195,-0.1986
-0.35279,-0.0288
-0.45243,-0.9561
-0.33754,-0.9134
-0.39346,-0.92661
-0.44837,-0.9805
-0.49005,-0.97644
-0.38939,-0.90526
-0.06053,-0.87273
-0.01573,0.83002
0.06968,-0.07288
5.40E-04,-0.04237
-0.0442,-0.08406
0.0585,-0.07999
0.05138,-0.08203
0.02291,-0.32504
-0.5597,-0.29047
-0.62376,-0.50806
-0.45294,-0.39011
-0.47734,-0.49179
-0.50175,-0.43485
-0.6441,-0.28945
-0.56072,-0.46129
-0.62986,-0.23251
-0.53733,-0.13083
-0.56275,-0.19896
-0.60953,-0.19082
-0.69087,-0.23454
-0.10158,-0.21014
0.27545,0.23861
0.35781,0.51517
-0.3458,0.1105
-0.23192,0.18066
-0.47798,-0.05524
-0.23904,-0.24842
-0.3336,-0.26164
-0.31021,-0.14268
-0.29293,-0.23419
-0.23497,-0.29723
-0.31733,-0.22809
-0.28479,0.09118
-0.27768,-0.00643
-0.30411,0.11965
-0.34783,0.09728
-0.34885,-1.02524
-0.31835,-0.63683
-0.3519,-0.64903
-0.31733,-0.80664
-0.03702,-0.83104
0.04413,-0.33622
0.0665,-0.3169
0.0238,-0.39519
-0.4551,-0.36978
-0.41036,-0.36876
-0.55271,-0.37791
-0.50594,-0.53653
-0.41647,-0.34639
-0.34732,-0.58533
-0.3819,-0.37791
-0.5517,-0.02509
-0.388,-0.15117
-0.54763,-0.17354
-0.38901,-0.0922
-0.59338,-0.20607
-0.41443,-0.18981
-0.52119,-0.19794
-0.52018,-0.262
-0.35648,-0.27623
-0.06428,-0.18777
0.07648,0.00374
-0.04248,-3.31E-04
-0.00588,-0.07049
-0.0191,-0.09489
-0.01198,-0.0044
0.02056,-0.12946
0.04801,-0.07862
-0.01096,-0.0471
-0.41462,-0.10608
-0.68407,-0.08167
-0.69017,-0.02067
-0.56612,-0.26673
-0.52952,-0.12946
-0.55087,-0.1986
-0.67288,-0.32163
-0.63831,-0.42941
-0.59052,-0.42128
-0.60883,-0.08472
-0.61493,-0.32875
0.01662,-0.15691
0.07693,0.31248
0.07693,0.35417
-0.31453,0.33688
-0.50772,0.3074
-0.65414,-0.09728
-0.58601,-0.07796
-0.64499,-0.06576
-0.54433,-0.21218
