Epoch,# of updates,Normalized WH(AGAD),Normalized WC(AGAD),Normalized WH(c-TTv2),Normalized WC(c-TTv2)
0,1,0,-0.07448,0,-0.08345
0,2,0,-0.07448,0,-0.08345
0,3,0,-0.07448,0,-0.08345
0,4,0,-0.07448,0,-0.08345
0,5,0,-0.07448,0,-0.08345
0,6,0.00562,0.05682,0.00136,-0.06836
0,7,0.00562,0.05682,0.00136,-0.06836
0,8,0.00562,0.05682,0.00136,-0.06836
0,9,0.00562,0.05682,0.00136,-0.06836
0,10,0.00562,0.05682,0.00136,-0.06836
0,11,0.00534,-0.08712,-0.01793,-0.03656
0,12,0.00534,-0.08712,-0.01793,-0.03656
0,13,0.00534,-0.08712,-0.01793,-0.03656
0,14,0.00534,-0.08712,-0.01793,-0.03656
0,15,0.00534,-0.08712,-0.01793,-0.03656
0,16,-0.032,-0.0651,-0.02979,-0.08345
0,17,-0.032,-0.0651,-0.02979,-0.08345
0,18,-0.032,-0.0651,-0.02979,-0.08345
0,19,-0.032,-0.0651,-0.02979,-0.08345
0,20,-0.032,-0.0651,-0.02979,-0.08345
0,21,-0.06837,-0.05328,-0.03938,-0.08549
0,22,-0.06837,-0.05328,-0.03938,-0.08549
0,23,-0.06837,-0.05328,-0.03938,-0.08549
0,24,-0.06837,-0.05328,-0.03938,-0.08549
0,25,-0.06837,-0.05328,-0.03938,-0.08549
0,26,-0.11526,-0.07489,-0.04892,-0.04349
0,27,-0.11526,-0.07489,-0.04892,-0.04349
0,28,-0.11526,-0.07489,-0.04892,-0.04349
0,29,-0.11526,-0.07489,-0.04892,-0.04349
0,30,-0.11526,-0.07489,-0.04892,-0.04349
0,31,-0.14598,0.01115,-0.05175,-0.11444
0,32,-0.14598,0.01115,-0.05175,-0.11444
0,33,-0.14598,0.01115,-0.05175,-0.11444
0,34,-0.14598,0.01115,-0.05175,-0.11444
0,35,-0.14598,0.01115,-0.05175,-0.11444
0,36,-0.17538,-0.11036,-0.05733,-0.10791
0,37,-0.17538,-0.11036,-0.05733,-0.10791
0,38,-0.17538,-0.11036,-0.05733,-0.10791
0,39,-0.17538,-0.11036,-0.05733,-0.10791
0,40,-0.17538,-0.11036,-0.05733,-0.10791
0,41,-0.17793,0.07353,-0.06624,-0.0965
0,42,-0.17793,0.07353,-0.06624,-0.0965
0,43,-0.17793,0.07353,-0.06624,-0.0965
0,44,-0.17793,0.07353,-0.06624,-0.0965
0,45,-0.17793,0.07353,-0.06624,-0.0965
0,46,-0.19166,0.014,-0.09956,-0.08549
0,47,-0.19166,0.014,-0.09956,-0.08549
0,48,-0.19166,0.014,-0.09956,-0.08549
0,49,-0.19166,0.014,-0.09956,-0.08549
0,50,-0.19166,0.014,-0.09956,-0.08549
0,51,-0.23955,-0.05695,-0.12723,-0.09568
0,52,-0.23955,-0.05695,-0.12723,-0.09568
0,53,-0.23955,-0.05695,-0.12723,-0.09568
0,54,-0.23955,-0.05695,-0.12723,-0.09568
0,55,-0.23955,-0.05695,-0.12723,-0.09568
0,56,-0.28877,-0.04227,-0.16441,-0.10628
0,57,-0.28877,-0.04227,-0.16441,-0.10628
0,58,-0.28877,-0.04227,-0.16441,-0.10628
0,59,-0.28877,-0.04227,-0.16441,-0.10628
0,60,-0.28877,-0.04227,-0.16441,-0.10628
0,61,-0.26366,0.04988,-0.10537,-0.0859
0,62,-0.26366,0.04988,-0.10537,-0.0859
0,63,-0.26366,0.04988,-0.10537,-0.0859
0,64,-0.26366,0.04988,-0.10537,-0.0859
0,65,-0.26366,0.04988,-0.10537,-0.0859
0,66,-0.30774,-0.0492,-0.04577,-0.10751
0,67,-0.30774,-0.0492,-0.04577,-0.10751
0,68,-0.30774,-0.0492,-0.04577,-0.10751
0,69,-0.30774,-0.0492,-0.04577,-0.10751
